Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.5625,0.00943241,,0.988598411,0.000316772,,0.474609375,0.010551793,,0.88341,0.00253,,0.545988262,0.010061767,,0.996521547,0.000344234,,0.458984375,0.011515633,,,
0.555555582,0.009379146,,0.986944785,0.000315771,,0.471304357,0.010491072,,0.88341,0.00253,,0.546086967,0.00993379,,0.996521547,0.000325177,,0.46875,0.011588949,,,
0.551562488,0.0093981,,0.986944785,0.000311648,,0.467918605,0.010503482,,0.88341,0.00253,,0.549295783,0.009844885,,0.996521547,0.000309551,,0.467187494,0.011446936,,,
0.545454562,0.009491406,,0.987609456,0.0003123,,0.473684192,0.010309498,,0.88341,0.00253,,0.549075365,0.009722256,,0.996521547,0.000296844,,0.465909094,0.011259264,,,
0.546284199,0.009509022,,0.989588593,0.000311209,,0.47196871,0.010273327,,0.88305,0.00252,,0.538461506,0.00984857,,0.996521547,0.000286221,,0.473272473,0.011192103,,,
0.625,0.007738316,,0.988520622,0.000313531,,0.515625,0.01135236,,0.88305,0.00252,,0.65625,0.01004401,,0.996879146,0.000276896,,0.375,0.011482402,,,
0.6171875,0.007961754,,0.988958264,0.000318481,,0.546875,0.010276383,,0.88305,0.00252,,0.5859375,0.010475508,,0.996879146,0.000268315,,0.4453125,0.010577037,,,
0.604166687,0.00846782,,0.988107587,0.000325525,,0.526041687,0.010143706,,0.88096,0.00252,,0.5625,0.010166265,,0.996987795,0.000260007,,0.453125,0.010438115,,,
0.60546875,0.008323148,,0.985938817,0.000337121,,0.48828125,0.010322863,,0.88096,0.00252,,0.541176498,0.009985437,,0.994245077,0.000251649,,0.45703125,0.011148626,,,
0.606249988,0.008566106,,,,,0.512499988,0.009793126,,,,,0.548589349,0.00974982,,,,,0.446875006,0.011061364,,,
0.611979187,0.008256391,,,,,0.5078125,0.00984781,,,,,0.556135774,0.009733829,,,,,0.46875,0.010794346,,,
0.584821463,0.008646023,,,,,0.511160731,0.009840193,,,,,0.568232656,0.009402722,,,,,0.464285731,0.010808012,,,
0.576171875,0.008780835,,,,,0.515625,0.009789004,,,,,0.563600779,0.009345723,,,,,0.4765625,0.010803476,,,
0.581597209,0.008712536,,,,,0.518260896,0.009717253,,,,,0.560000002,0.009247179,,,,,0.489583343,0.01085743,,,
0.571875036,0.008756567,,,,,0.507042229,0.009681745,,,,,0.566510141,0.009144302,,,,,0.484375,0.010701149,,,
0.566761374,0.008865083,,,,,0.509246111,0.009484858,,,,,0.567567587,0.009038561,,,,,0.484375,0.010517873,,,
0.568448484,0.008846099,,,,,0.505867004,0.009465366,,,,,0.558018267,0.009175352,,,,,0.491525412,0.010467833,,,
0.59375,0.007494328,,,,,0.5,0.010649259,,,,,0.65625,0.009379789,,,,,0.390625,0.010813694,,,
0.6328125,0.007539177,,,,,0.546875,0.009561738,,,,,0.6171875,0.009710629,,,,,0.4609375,0.009889483,,,
0.640625,0.007744733,,,,,0.526041687,0.009314027,,,,,0.588541687,0.009507944,,,,,0.463541687,0.009769054,,,
0.63671875,0.007593474,,,,,0.5,0.009419667,,,,,0.58431375,0.009272826,,,,,0.47265625,0.010399597,,,
0.631250024,0.007903676,,,,,0.53125,0.008919161,,,,,0.583072066,0.009066948,,,,,0.462500006,0.010320727,,,
0.643229187,0.007560468,,,,,0.520833373,0.009037414,,,,,0.582245469,0.009109717,,,,,0.486979187,0.010080727,,,
0.620535731,0.007891993,,,,,0.522321463,0.009040389,,,,,0.590604007,0.008830584,,,,,0.488839298,0.010069821,,,
0.611328125,0.008142161,,,,,0.5234375,0.009033398,,,,,0.585127175,0.008765402,,,,,0.498046875,0.010074665,,,
0.616319478,0.008037225,,,,,0.530434787,0.008953047,,,,,0.575652182,0.008757075,,,,,0.510416687,0.010113234,,,
0.610937536,0.008029517,,,,,0.524256647,0.008885221,,,,,0.580594659,0.008633417,,,,,0.509375036,0.009958284,,,
0.600852311,0.008190017,,,,,0.526315808,0.00868471,,,,,0.581792295,0.008521116,,,,,0.512784123,0.009784199,,,
0.61016947,0.00813198,,,,,0.524119914,0.00866473,,,,,0.569752276,0.008683397,,,,,0.517601013,0.009732422,,,
0.703125,0.006479853,,,,,0.53125,0.010144805,,,,,0.625,0.009362919,,,,,0.4375,0.010129486,,,
0.6796875,0.006683524,,,,,0.5703125,0.008954087,,,,,0.59375,0.009127361,,,,,0.5,0.009187039,,,
0.671875,0.006931931,,,,,0.5625,0.008558226,,,,,0.578125,0.009041999,,,,,0.494791687,0.009096206,,,
0.69140625,0.006736684,,,,,0.55078125,0.00861589,,,,,0.572549045,0.009057537,,,,,0.49609375,0.00968239,,,
0.684374988,0.007045806,,,,,0.578125,0.008122077,,,,,0.579937279,0.008888635,,,,,0.481250018,0.009606815,,,
0.692708373,0.006811746,,,,,0.565104187,0.008275084,,,,,0.577023506,0.008836782,,,,,0.505208373,0.009379102,,,
0.67187506,0.007115294,,,,,0.566964328,0.008267788,,,,,0.579418361,0.008748454,,,,,0.506696463,0.009363105,,,
0.658203125,0.007325905,,,,,0.56640625,0.00831975,,,,,0.587084174,0.008714163,,,,,0.517578125,0.009374324,,,
0.654513896,0.007305694,,,,,0.575652182,0.008255121,,,,,0.59478265,0.008501565,,,,,0.529513896,0.009391674,,,
0.653124988,0.007289008,,,,,0.57276994,0.008184256,,,,,0.594679177,0.008420761,,,,,0.53125,0.009240696,,,
0.647727311,0.007407022,,,,,0.574679911,0.007983207,,,,,0.587482214,0.008437614,,,,,0.535511374,0.009077637,,,
0.655801833,0.007361065,,,,,0.57235986,0.007938777,,,,,0.581486285,0.008468842,,,,,0.538461506,0.009016837,,,
0.65625,0.006256247,,,,,0.546875,0.009545315,,,,,0.625,0.008677325,,,,,0.4375,0.009368352,,,
0.6953125,0.006117529,,,,,0.59375,0.008244694,,,,,0.609375,0.009101951,,,,,0.5,0.008483481,,,
0.692708373,0.006526852,,,,,0.59375,0.007825782,,,,,0.59375,0.009122246,,,,,0.520833373,0.008411626,,,
0.69921875,0.006441508,,,,,0.58984375,0.0078546,,,,,0.631372571,0.008700443,,,,,0.515625,0.008978409,,,
0.696875036,0.006638898,,,,,0.606249988,0.007406613,,,,,0.620689631,0.008811415,,,,,0.5,0.008907139,,,
0.703125,0.00639352,,,,,0.59375,0.007565365,,,,,0.610966086,0.008662795,,,,,0.520833373,0.008691547,,,
0.680803597,0.006704157,,,,,0.598214328,0.007497999,,,,,0.624161065,0.008303631,,,,,0.520089328,0.008680276,,,
0.662109375,0.006894735,,,,,0.59765625,0.007585406,,,,,0.632093906,0.008177414,,,,,0.52734375,0.008697406,,,
0.659722209,0.006887358,,,,,0.608695686,0.007562243,,,,,0.633043468,0.007966607,,,,,0.539930582,0.008688838,,,
0.660937488,0.006897012,,,,,0.607198715,0.00750086,,,,,0.635367751,0.007942889,,,,,0.542187512,0.008544153,,,
0.653409123,0.006999773,,,,,0.607396841,0.007318266,,,,,0.635846376,0.007862373,,,,,0.549715936,0.008392532,,,
0.657105565,0.006934954,,,,,0.607561946,0.007249593,,,,,0.628422439,0.00792867,,,,,0.552803099,0.00832446,,,
0.671875,0.006087293,,,,,0.578125,0.008615605,,,,,0.75,0.007714005,,,,,0.4375,0.008696783,,,
0.6796875,0.005988093,,,,,0.65625,0.007351171,,,,,0.65625,0.007826161,,,,,0.5234375,0.007829231,,,
0.671875,0.006394824,,,,,0.645833373,0.00699803,,,,,0.635416687,0.007819227,,,,,0.541666687,0.007770399,,,
0.68359375,0.006251774,,,,,0.6484375,0.007029864,,,,,0.650980413,0.007515576,,,,,0.55078125,0.008325379,,,
0.675000012,0.006454675,,,,,0.653124988,0.006684495,,,,,0.6426332,0.007509944,,,,,0.534375012,0.008263654,,,
0.6953125,0.006077579,,,,,0.627604187,0.006838679,,,,,0.644908607,0.007440986,,,,,0.5625,0.008059475,,,
0.676339328,0.006306411,,,,,0.620535731,0.006728812,,,,,0.65324384,0.007221174,,,,,0.558035731,0.008045097,,,
0.662109375,0.006532295,,,,,0.61328125,0.006796968,,,,,0.659491181,0.007176774,,,,,0.556640625,0.008071778,,,
0.666666687,0.006438907,,,,,0.620869577,0.006801746,,,,,0.65739131,0.00698999,,,,,0.564236104,0.008047812,,,
0.670312524,0.00638026,,,,,0.621283233,0.006769746,,,,,0.655712068,0.006958527,,,,,0.565625012,0.007911031,,,
0.65625,0.006522281,,,,,0.627311528,0.006611742,,,,,0.660028458,0.006956891,,,,,0.572443187,0.007768168,,,
0.661016941,0.006470792,,,,,0.627118647,0.006546086,,,,,0.655801833,0.007041552,,,,,0.574967384,0.007693647,,,
0.75,0.005017506,,,,,0.625,0.007871781,,,,,0.703125,0.007170246,,,,,0.5,0.008103808,,,
0.734375,0.005158021,,,,,0.703125,0.006613411,,,,,0.65625,0.007253226,,,,,0.5703125,0.007241458,,,
0.713541687,0.005820334,,,,,0.682291687,0.006333325,,,,,0.65625,0.007231095,,,,,0.567708373,0.007206461,,,
0.734375,0.005502193,,,,,0.671875,0.006317076,,,,,0.662745118,0.00692279,,,,,0.5859375,0.007756022,,,
0.725000024,0.005673763,,,,,0.678125024,0.006032465,,,,,0.6426332,0.00702592,,,,,0.565625012,0.007694992,,,
0.7421875,0.005350262,,,,,0.651041687,0.006193309,,,,,0.647519588,0.00691168,,,,,0.591145873,0.007504168,,,
0.71875006,0.005616517,,,,,0.645089328,0.006090671,,,,,0.659955263,0.006702653,,,,,0.582589328,0.007479774,,,
0.703125,0.005736738,,,,,0.638671875,0.006130404,,,,,0.663405061,0.006702056,,,,,0.578125,0.007513307,,,
0.706597209,0.005677041,,,,,0.643478274,0.006159992,,,,,0.66956526,0.006493373,,,,,0.583333313,0.007483077,,,
0.7109375,0.005654139,,,,,0.638497651,0.006151721,,,,,0.668231606,0.006470181,,,,,0.584375024,0.00736191,,,
0.704545498,0.005786875,,,,,0.64580369,0.006005418,,,,,0.669985771,0.006483134,,,,,0.592329562,0.007226602,,,
