Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.5234375,0.011137588,,0.864034514,0.002031984,,0.5078125,0.012778041,,0.986804808,0.000346156,,0.3984375,0.013662027,,0.84064,0.0034,,0.484375,0.012547479,,0.936164205,0.001269345
0.53125,0.010576088,,0.903391962,0.001496442,,0.526041687,0.012127133,,0.985672961,0.000348911,,0.385416687,0.01364228,,0.83716,0.00341,,0.429319382,0.013540738,,0.920797641,0.001237675
0.5234375,0.010622982,,0.873145809,0.002094815,,0.533333361,0.011642737,,0.985315358,0.00035384,,0.3984375,0.013343934,,0.83898,0.0034,,0.458823562,0.012538521,,0.894129142,0.001557548
0.525000036,0.010369358,,,,,0.507836998,0.011837215,,3,,,0.409375012,0.013165288,,2,,,0.467084616,0.012587291,,,
0.5234375,0.010180605,,,,,0.490861624,0.012032204,,,,,0.411458343,0.013076365,,,,,0.462141007,0.012691482,,,
0.540178597,0.010260597,,,,,0.472035795,0.012091441,,,,,0.42281878,0.01301131,,,,,0.467561513,0.012519341,,,
0.533203125,0.010233124,,,,,0.465753436,0.012569487,,,,,0.436399221,0.012836077,,,,,0.465753436,0.012348031,,,
0.541666687,0.010132678,,,,,0.462608695,0.012483838,,,,,0.43304348,0.012926525,,,,,0.462608695,0.012274341,,,
0.545312524,0.010141144,,,,,0.452269167,0.012702003,,,,,0.424100161,0.013169958,,,,,0.461658835,0.012072736,,,
0.542613626,0.010192684,,,,,0.459459454,0.012685585,,,,,0.41963014,0.013308095,,,,,0.472261727,0.0119461,,,
0.551499367,0.010084593,,,,,0.462842226,0.012516412,,,,,0.418513685,0.013227843,,,,,0.47196871,0.011846855,,,
0.609375,0.008887467,,,,,0.578125,0.010472432,,,,,0.40625,0.011911154,,,,,0.484375,0.010494537,,,
0.546875,0.010410537,,,,,0.484375,0.012683045,,,,,0.40625,0.013027126,,,,,0.4453125,0.011936276,,,
0.567708373,0.00983118,,,,,0.505208373,0.011981496,,,,,0.40625,0.012937904,,,,,0.424083769,0.012790383,,,
0.546875,0.009858909,,,,,0.509803951,0.011474361,,,,,0.4140625,0.012666076,,,,,0.470588267,0.01178313,,,
0.543749988,0.009607676,,,,,0.498432577,0.011569329,,,,,0.415625006,0.012556975,,,,,0.485893399,0.01180406,,,
0.546875,0.009412797,,,,,0.485639691,0.011767833,,,,,0.416666687,0.012530423,,,,,0.477806807,0.011939072,,,
0.555803597,0.009578423,,,,,0.469798654,0.011845325,,,,,0.427293062,0.012461779,,,,,0.478747219,0.011822143,,,
0.548828125,0.009553297,,,,,0.455968678,0.012344724,,,,,0.44422701,0.012321641,,,,,0.479452044,0.011625569,,,
0.559027791,0.009441941,,,,,0.460869581,0.012228564,,,,,0.445217401,0.012385079,,,,,0.478260875,0.011541646,,,
0.5625,0.009445766,,,,,0.452269167,0.012447766,,,,,0.439749599,0.012599007,,,,,0.482003123,0.011352923,,,
0.5625,0.009528683,,,,,0.459459454,0.012417372,,,,,0.432432413,0.012721352,,,,,0.490753919,0.011239682,,,
0.567144692,0.009408899,,,,,0.461538464,0.01224979,,,,,0.431551486,0.012646101,,,,,0.494132966,0.01114047,,,
0.5,0.008729962,,,,,0.578125,0.010003451,,,,,0.40625,0.011163177,,,,,0.484375,0.010028412,,,
0.5,0.009798484,,,,,0.484375,0.012524646,,,,,0.40625,0.012427669,,,,,0.453125,0.011126882,,,
0.541666687,0.009245426,,,,,0.489583343,0.01186685,,,,,0.416666687,0.012294773,,,,,0.429319382,0.011891521,,,
0.54296875,0.009226031,,,,,0.501960814,0.011381708,,,,,0.43359375,0.012057299,,,,,0.490196109,0.010918387,,,
0.550000012,0.00897644,,,,,0.49529779,0.011347123,,,,,0.421875,0.011998787,,,,,0.510971785,0.010940417,,,
0.5625,0.008740813,,,,,0.498694539,0.011488994,,,,,0.419270843,0.012017005,,,,,0.498694539,0.01112705,,,
0.569196463,0.008984492,,,,,0.485458612,0.011563573,,,,,0.431767344,0.011949367,,,,,0.503355682,0.011049725,,,
0.564453125,0.00896662,,,,,0.469667315,0.012066488,,,,,0.44618395,0.01183039,,,,,0.50293541,0.010870733,,,
0.571180582,0.008864726,,,,,0.478260875,0.011960479,,,,,0.446956545,0.011872356,,,,,0.499130458,0.010778126,,,
0.573437512,0.00883284,,,,,0.474178404,0.012210413,,,,,0.441314548,0.012062676,,,,,0.50391233,0.010592347,,,
0.573863626,0.008945881,,,,,0.476529151,0.012183579,,,,,0.432432413,0.012133485,,,,,0.512091041,0.01048848,,,
0.582790077,0.008819083,,,,,0.481095165,0.01200722,,,,,0.432855278,0.012077618,,,,,0.518904805,0.010394399,,,
0.5625,0.008198982,,,,,0.578125,0.009398012,,,,,0.421875,0.010742511,,,,,0.5,0.009471597,,,
0.515625,0.00910503,,,,,0.484375,0.011997063,,,,,0.421875,0.012038597,,,,,0.484375,0.01026599,,,
0.546875,0.008615856,,,,,0.479166687,0.011446573,,,,,0.421875,0.011948604,,,,,0.471204191,0.010972102,,,
0.55078125,0.00857372,,,,,0.482352972,0.011090306,,,,,0.44140625,0.011667834,,,,,0.517647088,0.01013483,,,
0.556250036,0.008390734,,,,,0.489028215,0.011003066,,,,,0.428124994,0.011541903,,,,,0.532915354,0.0101478,,,
0.567708373,0.008150204,,,,,0.503916442,0.011108186,,,,,0.427083343,0.011565608,,,,,0.524804175,0.010321152,,,
0.575892866,0.008399978,,,,,0.489932895,0.011192468,,,,,0.436241627,0.011550551,,,,,0.516778529,0.010292638,,,
0.58203125,0.008422417,,,,,0.479452044,0.011636549,,,,,0.450097859,0.011430799,,,,,0.516634047,0.010129602,,,
0.585069478,0.008366561,,,,,0.488695651,0.011560594,,,,,0.44869566,0.011488293,,,,,0.518260896,0.010017072,,,
0.592187524,0.008309545,,,,,0.480438173,0.011841162,,,,,0.441314548,0.01167572,,,,,0.521126747,0.00983476,,,
0.589488626,0.008470208,,,,,0.479374111,0.01184207,,,,,0.440967292,0.011656151,,,,,0.527738273,0.009756125,,,
0.594524086,0.008364832,,,,,0.482398957,0.011684319,,,,,0.445893079,0.011617524,,,,,0.539765298,0.009636266,,,
0.640625,0.006882804,,,,,0.640625,0.008905931,,,,,0.34375,0.010539059,,,,,0.515625,0.008821217,,,
0.5625,0.008135136,,,,,0.515625,0.011192564,,,,,0.375,0.011881129,,,,,0.4921875,0.009531328,,,
0.604166687,0.007863639,,,,,0.510416687,0.010629126,,,,,0.369791687,0.012064365,,,,,0.486910999,0.010160017,,,
0.60546875,0.007811202,,,,,0.509803951,0.010374273,,,,,0.40625,0.01178343,,,,,0.53725493,0.00940997,,,
0.600000024,0.007807586,,,,,0.507836998,0.010325553,,,,,0.428124994,0.011409923,,,,,0.554858923,0.009452069,,,
0.596354187,0.007674625,,,,,0.514360309,0.010475617,,,,,0.427083343,0.011323347,,,,,0.543080926,0.009539618,,,
0.607142866,0.007817062,,,,,0.496644288,0.010603977,,,,,0.436241627,0.011268515,,,,,0.536912739,0.00950693,,,
0.607421875,0.007809545,,,,,0.493150681,0.011016627,,,,,0.448140889,0.011128932,,,,,0.538160443,0.00939159,,,
0.605902791,0.007804845,,,,,0.497391313,0.010957471,,,,,0.443478256,0.011269816,,,,,0.539130449,0.009298795,,,
0.610937536,0.007800834,,,,,0.49921751,0.011222348,,,,,0.43035993,0.011548777,,,,,0.549295783,0.00907633,,,
0.605113626,0.007949822,,,,,0.499288768,0.011217389,,,,,0.432432413,0.011484595,,,,,0.549075365,0.009030554,,,
0.611473262,0.007886386,,,,,0.504563212,0.011111437,,,,,0.43415904,0.011442749,,,,,0.559322,0.008895763,,,
0.75,0.005894553,,,,,0.65625,0.008471117,,,,,0.4375,0.009393252,,,,,0.59375,0.007765733,,,
0.6640625,0.00710692,,,,,0.5234375,0.010575404,,,,,0.4375,0.010919132,,,,,0.53125,0.008678571,,,
0.677083373,0.006943658,,,,,0.526041687,0.009966364,,,,,0.395833343,0.011356033,,,,,0.502617836,0.009415341,,,
0.66015625,0.007213928,,,,,0.525490224,0.009735433,,,,,0.41015625,0.011365909,,,,,0.552941203,0.008615808,,,
