Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.576802492,0.008445762,,,0.893028612,0.00127701,,0.549479187,0.009817948,,0.929016327,0.001044959,,,,0.469973892,0.010737752,,,,,0.543080926,0.010162028,,0.666391934,0.006370541
0.571801603,0.008533321,,,0.896712959,0.001208634,,0.532438457,0.010219122,,0.914921413,0.001078851,,,,0.469798654,0.010658569,,,,,0.550335586,0.009931104,,0.696816996,0.006894248
0.579418361,0.008479711,,,0.907426397,0.001130696,,0.532289624,0.010041493,,0.908463056,0.001117737,,,,0.477495104,0.010432286,,,,,0.545988262,0.009885071,,0.711650749,0.006017375
0.573385537,0.008528633,,,0.845067595,0.001716654,,0.52347827,0.010124901,,0.889528026,0.001211602,,,,0.495652199,0.010361053,,,,,0.537391305,0.009860205,,0.782138914,0.00432837
0.568695664,0.008618738,,,0.833918512,0.001821634,,0.538341165,0.010048003,,0.893833001,0.001275531,,,,0.50234741,0.010351828,,,,,0.527386546,0.010003008,,0.813023637,0.003762784
0.577464759,0.00838099,,,0.965290099,0.000666106,,0.537695587,0.009923775,,0.887982021,0.001294003,,,,0.495021343,0.010367751,,,,,0.530583203,0.009901302,,0.814831704,0.003548887
0.58036983,0.008465282,,,0.989029636,0.000573366,,0.53455019,0.009997026,,0.897543723,0.001347427,,,,0.498044312,0.010357718,,,,,0.530638814,0.009935773,,0.82226481,0.003613107
0.584093869,0.008392472,,,0.983520423,0.000507387,,0.65625,0.008484599,,0.937238326,0.000876692,,,,0.421875,0.00928407,,,,,0.59375,0.008829215,,0.813071812,0.003615839
0.625,0.005980804,,,0.988489012,0.000519778,,0.6328125,0.009167477,,0.957184047,0.000637717,,,,0.453125,0.009686841,,,,,0.574803174,0.008975937,,0.840631311,0.003187263
0.65625,0.00653966,,,0.995571007,0.000370124,,0.630208373,0.008985798,,0.946451023,0.000748563,,,,0.434554964,0.010222588,,,,,0.565445006,0.009271479,,0.866590187,0.002957014
0.623036683,0.00728454,,,0.985529741,0.000474448,,0.60546875,0.009359316,,0.971599494,0.000579624,,,,0.470588267,0.009833323,,,,,0.568627477,0.009678895,,0.871400202,0.002960315
0.650980413,0.007112898,,,0.997065574,0.0003369,,0.609375,0.00932977,,,,,,,0.470219433,0.010237896,,,,,0.579937279,0.00935575,,,
0.614420056,0.007563366,,,,,,0.606770873,0.009241052,,,,,,,0.477806807,0.010041902,,,,,0.571801603,0.009496777,,,
0.613577008,0.007649014,,,,,,0.590604007,0.009602427,,,,,,,0.48098433,0.009949716,,,,,0.579418361,0.009261044,,,
0.61521256,0.007647519,,,,,,0.587084174,0.009420504,,,,,,,0.487279832,0.009720094,,,,,0.583170235,0.009219237,,,
0.61056751,0.007710024,,,,,,0.573913038,0.00951634,,,,,,,0.506086946,0.009631881,,,,,0.575652182,0.009191712,,,
0.606956542,0.00778664,,,,,,0.588419378,0.009453203,,,,,,,0.511737108,0.009631099,,,,,0.563380301,0.009325961,,,
0.613458514,0.007585898,,,,,,0.581792295,0.009354331,,,,,,,0.506401122,0.009672703,,,,,0.567567587,0.009209027,,,
0.614509225,0.007676963,,,,,,0.57887876,0.009411001,,,,,,,0.513689697,0.009646842,,,,,0.5658409,0.009247955,,,
